Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,random
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
22.2593, 0.732861, 0.716319, 59.2958, 20.7787, 0.716389, 19.6975, 0.71625, 18.8195, 0.715556, 0
22.6205, 0.732339, 0.715, 60.1603, 21.1806, 0.715278, 20.0953, 0.714931, 18.8845, 0.715, 0
22.9981, 0.729844, 0.713542, 61.1632, 21.5135, 0.713125, 20.4282, 0.713125, 19.2214, 0.713333, 0
23.3759, 0.727458, 0.710764, 62.0608, 21.9116, 0.710625, 20.5298, 0.710764, 19.6195, 0.710625, 0
23.7293, 0.7257, 0.709167, 62.7961, 22.2813, 0.709167, 20.5298, 0.708681, 19.9851, 0.708264, 0
24.0947, 0.723217, 0.706111, 63.531, 22.6467, 0.706111, 20.5298, 0.706111, 20.3546, 0.706111, 0
24.4599, 0.720942, 0.704375, 64.2939, 23.0443, 0.704375, 20.5298, 0.704375, 20.7198, 0.704236, 0
24.8293, 0.718931, 0.7025, 65.0286, 23.3447, 0.702708, 20.5987, 0.701667, 21.0851, 0.701667, 0
25.1863, 0.716739, 0.699722, 66.197, 23.7464, 0.699653, 20.9963, 0.699514, 21.4543, 0.699653, 0
25.5556, 0.714186, 0.696736, 67.1991, 24.0791, 0.696667, 21.3331, 0.697014, 21.787, 0.696528, 0
25.9331, 0.711797, 0.694514, 68.2303, 24.4444, 0.694861, 21.6335, 0.694306, 22.1524, 0.693958, 0
26.27, 0.709892, 0.692431, 68.9975, 24.8463, 0.692361, 21.6335, 0.692431, 22.5177, 0.692431, 0
26.619, 0.708236, 0.690764, 69.6665, 25.179, 0.690764, 21.6335, 0.690764, 22.854, 0.690625, 0
26.9722, 0.706081, 0.688125, 70.5001, 25.4795, 0.688472, 21.8338, 0.688333, 23.1869, 0.688194, 0
