Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,frontier
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
41.7597, 0.573231, 0.551042, 80.846, 31.8245, 0.551042, 29.0979, 0.551042, 19.9236, 0.551042, 0
42.1125, 0.571314, 0.549722, 81.2516, 32.1896, 0.549306, 29.0979, 0.549306, 19.9642, 0.549722, 0
42.4614, 0.569664, 0.547917, 81.8277, 32.5586, 0.547917, 29.3006, 0.547778, 19.9685, 0.547917, 0
42.8104, 0.567922, 0.546528, 82.5381, 32.8914, 0.546319, 29.6659, 0.546458, 19.9807, 0.546458, 0
43.1634, 0.566222, 0.544792, 83.3661, 33.2242, 0.544722, 30.0311, 0.544931, 20.1108, 0.544931, 0
43.5164, 0.564536, 0.543264, 84.1777, 33.6259, 0.543264, 30.4004, 0.543194, 20.1514, 0.543264, 0
43.8656, 0.56305, 0.541389, 84.9125, 33.9913, 0.541389, 30.7333, 0.541528, 20.188, 0.541389, 0
44.2146, 0.561242, 0.540069, 85.6795, 34.324, 0.540069, 31.0985, 0.54, 20.257, 0.540069, 0
44.5515, 0.559333, 0.537986, 86.4176, 34.6569, 0.537917, 31.4305, 0.538194, 20.3302, 0.537986, 0
44.9208, 0.557592, 0.536875, 86.7587, 34.9897, 0.536875, 31.4305, 0.536875, 20.3385, 0.536875, 0
45.2578, 0.556694, 0.535694, 87.1322, 35.3591, 0.535625, 31.4305, 0.535764, 20.3426, 0.535903, 0
45.5946, 0.555497, 0.534514, 87.4731, 35.6918, 0.534514, 31.4305, 0.534514, 20.3507, 0.534514, 0
45.9801, 0.55465, 0.533958, 87.9478, 36.0571, 0.533958, 31.4305, 0.533958, 20.4603, 0.533958, 0
46.3615, 0.553797, 0.533264, 88.4511, 36.4264, 0.533264, 31.4995, 0.533264, 20.5253, 0.533542, 0
46.7229, 0.553125, 0.533056, 89.2876, 36.7918, 0.533056, 31.8649, 0.533056, 20.631, 0.533056, 0
47.0924, 0.552639, 0.532708, 90.0674, 37.1572, 0.532708, 32.2303, 0.532708, 20.68, 0.532708, 0
47.4576, 0.552222, 0.532569, 90.9074, 37.5265, 0.532569, 32.5996, 0.532569, 20.7813, 0.532569, 0
47.7984, 0.551914, 0.5325, 91.6419, 37.8916, 0.5325, 32.9647, 0.5325, 20.7855, 0.5325, 0
48.1636, 0.551722, 0.532292, 92.3481, 38.2244, 0.532222, 33.33, 0.532292, 20.7936, 0.532292, 0
48.5248, 0.551061, 0.531806, 93.0181, 38.5538, 0.531806, 33.6625, 0.531806, 20.8018, 0.531806, 0
